sample_index	timestamp_epoch	timestamp_iso	path
1	1776198970	2026-04-14T16:36:10-04:00	/home/manuel/code/wesen/2026-04-09--screencast-studio/ttmp/2026/04/14/SCS-0015--investigate-browser-preview-streaming-pipeline-and-web-ui-performance-matrix/scripts/results/20260414-163610/metrics/raw/001-1776198970.prom
2	1776198971	2026-04-14T16:36:11-04:00	/home/manuel/code/wesen/2026-04-09--screencast-studio/ttmp/2026/04/14/SCS-0015--investigate-browser-preview-streaming-pipeline-and-web-ui-performance-matrix/scripts/results/20260414-163610/metrics/raw/002-1776198971.prom
3	1776198972	2026-04-14T16:36:12-04:00	/home/manuel/code/wesen/2026-04-09--screencast-studio/ttmp/2026/04/14/SCS-0015--investigate-browser-preview-streaming-pipeline-and-web-ui-performance-matrix/scripts/results/20260414-163610/metrics/raw/003-1776198972.prom
4	1776198974	2026-04-14T16:36:14-04:00	/home/manuel/code/wesen/2026-04-09--screencast-studio/ttmp/2026/04/14/SCS-0015--investigate-browser-preview-streaming-pipeline-and-web-ui-performance-matrix/scripts/results/20260414-163610/metrics/raw/004-1776198974.prom
5	1776198975	2026-04-14T16:36:15-04:00	/home/manuel/code/wesen/2026-04-09--screencast-studio/ttmp/2026/04/14/SCS-0015--investigate-browser-preview-streaming-pipeline-and-web-ui-performance-matrix/scripts/results/20260414-163610/metrics/raw/005-1776198975.prom
6	1776198976	2026-04-14T16:36:16-04:00	/home/manuel/code/wesen/2026-04-09--screencast-studio/ttmp/2026/04/14/SCS-0015--investigate-browser-preview-streaming-pipeline-and-web-ui-performance-matrix/scripts/results/20260414-163610/metrics/raw/006-1776198976.prom
7	1776198977	2026-04-14T16:36:17-04:00	/home/manuel/code/wesen/2026-04-09--screencast-studio/ttmp/2026/04/14/SCS-0015--investigate-browser-preview-streaming-pipeline-and-web-ui-performance-matrix/scripts/results/20260414-163610/metrics/raw/007-1776198977.prom
8	1776198978	2026-04-14T16:36:18-04:00	/home/manuel/code/wesen/2026-04-09--screencast-studio/ttmp/2026/04/14/SCS-0015--investigate-browser-preview-streaming-pipeline-and-web-ui-performance-matrix/scripts/results/20260414-163610/metrics/raw/008-1776198978.prom
