Linux 6.8.0-107-generic (f) 	04/14/2026 	_x86_64_	(8 CPU)

04:44:57 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
04:44:58 PM  1000    321005   12.00    1.00    0.00    0.00   13.00     4  screencast-stud
04:44:59 PM  1000    321005   11.00    1.00    0.00    0.00   12.00     4  screencast-stud
04:45:00 PM  1000    321005   11.00    1.00    0.00    0.00   12.00     4  screencast-stud
04:45:01 PM  1000    321005   11.00    1.00    0.00    0.00   12.00     4  screencast-stud
04:45:02 PM  1000    321005   12.00    2.00    0.00    0.00   14.00     4  screencast-stud
04:45:03 PM  1000    321005   12.00    1.00    0.00    0.00   13.00     4  screencast-stud
04:45:04 PM  1000    321005   12.00    1.00    0.00    0.00   13.00     4  screencast-stud
04:45:05 PM  1000    321005   11.88    0.00    0.00    0.00   11.88     4  screencast-stud
04:45:06 PM  1000    321005   11.00    2.00    0.00    0.00   13.00     4  screencast-stud
04:45:07 PM  1000    321005   12.00    1.00    0.00    0.00   13.00     4  screencast-stud
Average:     1000    321005   11.59    1.10    0.00    0.00   12.69     -  screencast-stud
