Linux 6.8.0-107-generic (f) 	04/13/2026 	_x86_64_	(8 CPU)

11:37:32 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
11:37:33 PM  1000    197555   39.00    8.00    0.00    0.00   47.00     4  bench
11:37:34 PM  1000    197555   65.00    7.00    0.00    0.00   72.00     6  bench
11:37:35 PM  1000    197555  117.00    5.00    0.00    0.00  122.00     6  bench
11:37:36 PM  1000    197555  117.00    1.00    0.00    0.00  118.00     6  bench
11:37:37 PM  1000    197555  131.00    1.00    0.00    0.00  132.00     0  bench
11:37:38 PM  1000    197555  208.00    2.00    0.00    0.00  210.00     0  bench
11:37:39 PM  1000    197555  416.00    4.00    0.00    0.00  420.00     2  bench
11:37:40 PM  1000    197555   86.00    1.00    0.00    0.00   87.00     6  bench
Average:     1000    197555  147.38    3.62    0.00    0.00  151.00     -  bench
