Linux 6.8.0-107-generic (f) 	04/13/2026 	_x86_64_	(8 CPU)

11:08:11 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
11:08:12 PM  1000     42049   32.00    6.00    0.00    0.00   38.00     6  bench
11:08:13 PM  1000     42049   84.00    8.00    0.00    0.00   92.00     7  bench
11:08:14 PM  1000     42049  146.00    8.00    0.00    0.00  154.00     5  bench
11:08:15 PM  1000     42049  194.00    1.00    0.00    0.00  195.00     2  bench
11:08:16 PM  1000     42049  257.00    4.00    0.00    0.00  261.00     5  bench
11:08:17 PM  1000     42049  191.00    3.00    0.00    0.00  194.00     2  bench
11:08:18 PM  1000     42049  261.00    4.00    0.00    0.00  265.00     7  bench
11:08:19 PM  1000     42049   13.00    1.00    0.00    0.00   14.00     7  bench
Average:     1000     42049  147.25    4.38    0.00    0.00  151.62     -  bench
