Linux 6.8.0-107-generic (f) 	04/14/2026 	_x86_64_	(8 CPU)

04:47:20 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
04:47:21 PM  1000    321005  262.38    8.91    0.00    0.00  271.29     4  screencast-stud
04:47:22 PM  1000    321005  313.00    8.00    0.00    0.00  321.00     4  screencast-stud
04:47:23 PM  1000    321005  343.00   11.00    0.00    0.00  354.00     4  screencast-stud
04:47:24 PM  1000    321005  383.00    9.00    0.00    0.00  392.00     4  screencast-stud
04:47:25 PM  1000    321005  341.58    6.93    0.00    0.00  348.51     4  screencast-stud
04:47:26 PM  1000    321005  363.00    8.00    0.00    0.00  371.00     4  screencast-stud
04:47:27 PM  1000    321005  296.00    6.00    0.00    0.00  302.00     4  screencast-stud
04:47:28 PM  1000    321005  291.00    6.00    0.00    0.00  297.00     4  screencast-stud
04:47:29 PM  1000    321005  403.00    8.00    0.00    0.00  411.00     4  screencast-stud
04:47:30 PM  1000    321005  361.00    9.00    0.00    0.00  370.00     4  screencast-stud
Average:     1000    321005  335.63    8.08    0.00    0.00  343.71     -  screencast-stud
