sample_index	timestamp_epoch	timestamp_iso	path
1	1776197428	2026-04-14T16:10:28-04:00	/home/manuel/code/wesen/2026-04-09--screencast-studio/ttmp/2026/04/14/SCS-0015--investigate-browser-preview-streaming-pipeline-and-web-ui-performance-matrix/scripts/03-desktop-preview-http-client-matrix/results/20260414-161024/no-client/metrics/raw/001-1776197428.prom
2	1776197429	2026-04-14T16:10:29-04:00	/home/manuel/code/wesen/2026-04-09--screencast-studio/ttmp/2026/04/14/SCS-0015--investigate-browser-preview-streaming-pipeline-and-web-ui-performance-matrix/scripts/03-desktop-preview-http-client-matrix/results/20260414-161024/no-client/metrics/raw/002-1776197429.prom
3	1776197430	2026-04-14T16:10:30-04:00	/home/manuel/code/wesen/2026-04-09--screencast-studio/ttmp/2026/04/14/SCS-0015--investigate-browser-preview-streaming-pipeline-and-web-ui-performance-matrix/scripts/03-desktop-preview-http-client-matrix/results/20260414-161024/no-client/metrics/raw/003-1776197430.prom
4	1776197431	2026-04-14T16:10:31-04:00	/home/manuel/code/wesen/2026-04-09--screencast-studio/ttmp/2026/04/14/SCS-0015--investigate-browser-preview-streaming-pipeline-and-web-ui-performance-matrix/scripts/03-desktop-preview-http-client-matrix/results/20260414-161024/no-client/metrics/raw/004-1776197431.prom
