Linux 6.8.0-107-generic (f) 	04/14/2026 	_x86_64_	(8 CPU)

02:27:21 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
02:27:22 PM  1000     63005    0.00    0.00    0.00    0.00    0.00     5  go
02:27:23 PM  1000     63005    0.00    0.00    0.00    0.00    0.00     5  go
02:27:24 PM  1000     63005    0.00    0.00    0.00    0.00    0.00     5  go
02:27:25 PM  1000     63005    0.00    0.00    0.00    0.00    0.00     5  go
02:27:26 PM  1000     63005    0.00    0.00    0.00    0.00    0.00     5  go
02:27:27 PM  1000     63005    0.00    0.00    0.00    0.00    0.00     5  go
02:27:28 PM  1000     63005    0.00    0.00    0.00    0.00    0.00     5  go
02:27:29 PM  1000     63005    0.00    0.00    0.00    0.00    0.00     5  go
02:27:30 PM  1000     63005    0.00    0.00    0.00    0.00    0.00     5  go
02:27:31 PM  1000     63005    0.00    0.00    0.00    0.00    0.00     5  go
02:27:32 PM  1000     63005    0.00    0.00    0.00    0.00    0.00     5  go
Average:     1000     63005    0.00    0.00    0.00    0.00    0.00     -  go
