sample_index	timestamp_epoch	timestamp_iso	path
1	1776199886	2026-04-14T16:51:26-04:00	/home/manuel/code/wesen/2026-04-09--screencast-studio/ttmp/2026/04/14/SCS-0015--investigate-browser-preview-streaming-pipeline-and-web-ui-performance-matrix/scripts/results/20260414-165126/metrics/raw/001-1776199886.prom
2	1776199887	2026-04-14T16:51:27-04:00	/home/manuel/code/wesen/2026-04-09--screencast-studio/ttmp/2026/04/14/SCS-0015--investigate-browser-preview-streaming-pipeline-and-web-ui-performance-matrix/scripts/results/20260414-165126/metrics/raw/002-1776199887.prom
3	1776199888	2026-04-14T16:51:28-04:00	/home/manuel/code/wesen/2026-04-09--screencast-studio/ttmp/2026/04/14/SCS-0015--investigate-browser-preview-streaming-pipeline-and-web-ui-performance-matrix/scripts/results/20260414-165126/metrics/raw/003-1776199888.prom
4	1776199889	2026-04-14T16:51:29-04:00	/home/manuel/code/wesen/2026-04-09--screencast-studio/ttmp/2026/04/14/SCS-0015--investigate-browser-preview-streaming-pipeline-and-web-ui-performance-matrix/scripts/results/20260414-165126/metrics/raw/004-1776199889.prom
