Linux 6.8.0-107-generic (f) 	04/14/2026 	_x86_64_	(8 CPU)

05:35:45 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
05:35:46 PM  1000    392615   12.00    1.00    0.00    0.00   13.00     2  scs-0015-mjpeg-
05:35:47 PM  1000    392615   57.00   27.00    0.00    0.00   84.00     2  scs-0015-mjpeg-
05:35:48 PM  1000    392615  171.00   21.00    0.00    0.00  192.00     2  scs-0015-mjpeg-
05:35:49 PM  1000    392615  175.00   13.00    0.00    0.00  188.00     2  scs-0015-mjpeg-
05:35:50 PM  1000    392615  164.00    9.00    0.00    0.00  173.00     2  scs-0015-mjpeg-
05:35:51 PM  1000    392615  184.00    9.00    0.00    0.00  193.00     2  scs-0015-mjpeg-
05:35:52 PM  1000    392615  179.00    8.00    0.00    0.00  187.00     2  scs-0015-mjpeg-
05:35:53 PM  1000    392615  464.00    5.00    0.00    0.00  469.00     2  scs-0015-mjpeg-
05:35:54 PM  1000    392615    0.00    0.00    0.00    0.00    0.00     2  scs-0015-mjpeg-
Average:     1000    392615  156.22   10.33    0.00    0.00  166.56     -  scs-0015-mjpeg-
