Linux 6.8.0-107-generic (f) 	04/13/2026 	_x86_64_	(8 CPU)

11:39:26 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
11:39:27 PM  1000    207334   38.00    7.00    0.00    0.00   45.00     2  bench
11:39:28 PM  1000    207334   73.00    8.00    0.00    0.00   81.00     6  bench
11:39:29 PM  1000    207334  126.00    6.00    0.00    0.00  132.00     5  bench
11:39:30 PM  1000    207334  124.00    0.00    0.00    0.00  124.00     1  bench
11:39:31 PM  1000    207334  125.00    1.00    0.00    0.00  126.00     2  bench
11:39:32 PM  1000    207334  125.00    2.00    0.00    0.00  127.00     0  bench
11:39:33 PM  1000    207334  387.00    4.00    0.00    0.00  391.00     0  bench
11:39:34 PM  1000    207334   21.00    1.00    0.00    0.00   22.00     6  bench
Average:     1000    207334  127.38    3.62    0.00    0.00  131.00     -  bench
