sample_index	timestamp_epoch	timestamp_iso	path
1	1776202453	2026-04-14T17:34:13-04:00	/home/manuel/code/wesen/2026-04-09--screencast-studio/ttmp/2026/04/14/SCS-0015--investigate-browser-preview-streaming-pipeline-and-web-ui-performance-matrix/scripts/12-desktop-preview-recording-mjpeg-ws-ablation-matrix/results/20260414-173359/mjpeg-plus-ws/metrics/raw/001-1776202453.prom
2	1776202454	2026-04-14T17:34:14-04:00	/home/manuel/code/wesen/2026-04-09--screencast-studio/ttmp/2026/04/14/SCS-0015--investigate-browser-preview-streaming-pipeline-and-web-ui-performance-matrix/scripts/12-desktop-preview-recording-mjpeg-ws-ablation-matrix/results/20260414-173359/mjpeg-plus-ws/metrics/raw/002-1776202454.prom
3	1776202455	2026-04-14T17:34:15-04:00	/home/manuel/code/wesen/2026-04-09--screencast-studio/ttmp/2026/04/14/SCS-0015--investigate-browser-preview-streaming-pipeline-and-web-ui-performance-matrix/scripts/12-desktop-preview-recording-mjpeg-ws-ablation-matrix/results/20260414-173359/mjpeg-plus-ws/metrics/raw/003-1776202455.prom
4	1776202456	2026-04-14T17:34:16-04:00	/home/manuel/code/wesen/2026-04-09--screencast-studio/ttmp/2026/04/14/SCS-0015--investigate-browser-preview-streaming-pipeline-and-web-ui-performance-matrix/scripts/12-desktop-preview-recording-mjpeg-ws-ablation-matrix/results/20260414-173359/mjpeg-plus-ws/metrics/raw/004-1776202456.prom
5	1776202457	2026-04-14T17:34:17-04:00	/home/manuel/code/wesen/2026-04-09--screencast-studio/ttmp/2026/04/14/SCS-0015--investigate-browser-preview-streaming-pipeline-and-web-ui-performance-matrix/scripts/12-desktop-preview-recording-mjpeg-ws-ablation-matrix/results/20260414-173359/mjpeg-plus-ws/metrics/raw/005-1776202457.prom
6	1776202458	2026-04-14T17:34:18-04:00	/home/manuel/code/wesen/2026-04-09--screencast-studio/ttmp/2026/04/14/SCS-0015--investigate-browser-preview-streaming-pipeline-and-web-ui-performance-matrix/scripts/12-desktop-preview-recording-mjpeg-ws-ablation-matrix/results/20260414-173359/mjpeg-plus-ws/metrics/raw/006-1776202458.prom
