Linux 6.8.0-107-generic (f) 	04/14/2026 	_x86_64_	(8 CPU)

08:25:19 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
08:25:20 PM  1000    629027   11.00    1.00    0.00    0.00   12.00     1  screencast-stud
08:25:21 PM  1000    629027   11.00    0.00    0.00    0.00   11.00     1  screencast-stud
08:25:22 PM  1000    629027   10.00    1.00    0.00    0.00   11.00     1  screencast-stud
08:25:23 PM  1000    629027   11.00    1.00    0.00    0.00   12.00     1  screencast-stud
08:25:24 PM  1000    629027   53.00   46.00    0.00    0.00   99.00     1  screencast-stud
08:25:25 PM  1000    629027  101.00  114.00    0.00    0.00  215.00     1  screencast-stud
08:25:26 PM  1000    629027  154.00   52.00    0.00    0.00  206.00     1  screencast-stud
08:25:27 PM  1000    629027  158.00  122.00    0.00    0.00  280.00     1  screencast-stud
08:25:28 PM  1000    629027  348.51   59.41    0.00    0.00  407.92     1  screencast-stud
08:25:29 PM  1000    629027  373.00    4.00    0.00    0.00  377.00     1  screencast-stud
Average:     1000    629027  123.28   40.06    0.00    0.00  163.34     -  screencast-stud
