Linux 6.8.0-107-generic (f) 	04/14/2026 	_x86_64_	(8 CPU)

04:46:57 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
04:46:58 PM  1000    321005   21.00    1.00    0.00    0.00   22.00     4  screencast-stud
04:46:59 PM  1000    321005   27.00    1.00    0.00    0.00   28.00     4  screencast-stud
04:47:00 PM  1000    321005   22.00    2.00    0.00    0.00   24.00     4  screencast-stud
04:47:01 PM  1000    321005   22.00    1.00    0.00    0.00   23.00     4  screencast-stud
04:47:02 PM  1000    321005   16.00    1.00    0.00    0.00   17.00     4  screencast-stud
04:47:03 PM  1000    321005   19.00    1.00    0.00    0.00   20.00     4  screencast-stud
04:47:04 PM  1000    321005   16.00    1.00    0.00    0.00   17.00     4  screencast-stud
04:47:05 PM  1000    321005   17.00    1.00    0.00    0.00   18.00     4  screencast-stud
04:47:06 PM  1000    321005   15.00    1.00    0.00    0.00   16.00     4  screencast-stud
04:47:07 PM  1000    321005   16.00    0.00    0.00    0.00   16.00     4  screencast-stud
Average:     1000    321005   19.10    1.00    0.00    0.00   20.10     -  screencast-stud
