sample_index	timestamp_epoch	timestamp_iso	path
1	1776199641	2026-04-14T16:47:21-04:00	/home/manuel/code/wesen/2026-04-09--screencast-studio/ttmp/2026/04/14/SCS-0015--investigate-browser-preview-streaming-pipeline-and-web-ui-performance-matrix/scripts/results/20260414-164720/metrics/raw/001-1776199641.prom
2	1776199642	2026-04-14T16:47:22-04:00	/home/manuel/code/wesen/2026-04-09--screencast-studio/ttmp/2026/04/14/SCS-0015--investigate-browser-preview-streaming-pipeline-and-web-ui-performance-matrix/scripts/results/20260414-164720/metrics/raw/002-1776199642.prom
3	1776199643	2026-04-14T16:47:23-04:00	/home/manuel/code/wesen/2026-04-09--screencast-studio/ttmp/2026/04/14/SCS-0015--investigate-browser-preview-streaming-pipeline-and-web-ui-performance-matrix/scripts/results/20260414-164720/metrics/raw/003-1776199643.prom
4	1776199644	2026-04-14T16:47:24-04:00	/home/manuel/code/wesen/2026-04-09--screencast-studio/ttmp/2026/04/14/SCS-0015--investigate-browser-preview-streaming-pipeline-and-web-ui-performance-matrix/scripts/results/20260414-164720/metrics/raw/004-1776199644.prom
5	1776199645	2026-04-14T16:47:25-04:00	/home/manuel/code/wesen/2026-04-09--screencast-studio/ttmp/2026/04/14/SCS-0015--investigate-browser-preview-streaming-pipeline-and-web-ui-performance-matrix/scripts/results/20260414-164720/metrics/raw/005-1776199645.prom
6	1776199646	2026-04-14T16:47:26-04:00	/home/manuel/code/wesen/2026-04-09--screencast-studio/ttmp/2026/04/14/SCS-0015--investigate-browser-preview-streaming-pipeline-and-web-ui-performance-matrix/scripts/results/20260414-164720/metrics/raw/006-1776199646.prom
7	1776199647	2026-04-14T16:47:27-04:00	/home/manuel/code/wesen/2026-04-09--screencast-studio/ttmp/2026/04/14/SCS-0015--investigate-browser-preview-streaming-pipeline-and-web-ui-performance-matrix/scripts/results/20260414-164720/metrics/raw/007-1776199647.prom
8	1776199648	2026-04-14T16:47:28-04:00	/home/manuel/code/wesen/2026-04-09--screencast-studio/ttmp/2026/04/14/SCS-0015--investigate-browser-preview-streaming-pipeline-and-web-ui-performance-matrix/scripts/results/20260414-164720/metrics/raw/008-1776199648.prom
