sample_index	timestamp_epoch	timestamp_iso	path
1	1776199192	2026-04-14T16:39:52-04:00	/home/manuel/code/wesen/2026-04-09--screencast-studio/ttmp/2026/04/14/SCS-0015--investigate-browser-preview-streaming-pipeline-and-web-ui-performance-matrix/scripts/results/20260414-163951/metrics/raw/001-1776199192.prom
2	1776199193	2026-04-14T16:39:53-04:00	/home/manuel/code/wesen/2026-04-09--screencast-studio/ttmp/2026/04/14/SCS-0015--investigate-browser-preview-streaming-pipeline-and-web-ui-performance-matrix/scripts/results/20260414-163951/metrics/raw/002-1776199193.prom
3	1776199194	2026-04-14T16:39:54-04:00	/home/manuel/code/wesen/2026-04-09--screencast-studio/ttmp/2026/04/14/SCS-0015--investigate-browser-preview-streaming-pipeline-and-web-ui-performance-matrix/scripts/results/20260414-163951/metrics/raw/003-1776199194.prom
4	1776199195	2026-04-14T16:39:55-04:00	/home/manuel/code/wesen/2026-04-09--screencast-studio/ttmp/2026/04/14/SCS-0015--investigate-browser-preview-streaming-pipeline-and-web-ui-performance-matrix/scripts/results/20260414-163951/metrics/raw/004-1776199195.prom
5	1776199196	2026-04-14T16:39:56-04:00	/home/manuel/code/wesen/2026-04-09--screencast-studio/ttmp/2026/04/14/SCS-0015--investigate-browser-preview-streaming-pipeline-and-web-ui-performance-matrix/scripts/results/20260414-163951/metrics/raw/005-1776199196.prom
6	1776199197	2026-04-14T16:39:57-04:00	/home/manuel/code/wesen/2026-04-09--screencast-studio/ttmp/2026/04/14/SCS-0015--investigate-browser-preview-streaming-pipeline-and-web-ui-performance-matrix/scripts/results/20260414-163951/metrics/raw/006-1776199197.prom
7	1776199198	2026-04-14T16:39:58-04:00	/home/manuel/code/wesen/2026-04-09--screencast-studio/ttmp/2026/04/14/SCS-0015--investigate-browser-preview-streaming-pipeline-and-web-ui-performance-matrix/scripts/results/20260414-163951/metrics/raw/007-1776199198.prom
8	1776199199	2026-04-14T16:39:59-04:00	/home/manuel/code/wesen/2026-04-09--screencast-studio/ttmp/2026/04/14/SCS-0015--investigate-browser-preview-streaming-pipeline-and-web-ui-performance-matrix/scripts/results/20260414-163951/metrics/raw/008-1776199199.prom
