Linux 6.8.0-107-generic (f) 	04/14/2026 	_x86_64_	(8 CPU)

04:39:51 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
04:39:52 PM  1000    321005  392.00    4.00    0.00    0.00  396.00     4  screencast-stud
04:39:53 PM  1000    321005  364.00    3.00    0.00    0.00  367.00     4  screencast-stud
04:39:54 PM  1000    321005  350.00    4.00    0.00    0.00  354.00     4  screencast-stud
04:39:55 PM  1000    321005  378.00    4.00    0.00    0.00  382.00     4  screencast-stud
04:39:56 PM  1000    321005  483.00    6.00    0.00    0.00  489.00     4  screencast-stud
04:39:57 PM  1000    321005  426.00    4.00    0.00    0.00  430.00     4  screencast-stud
04:39:58 PM  1000    321005  437.00    4.00    0.00    0.00  441.00     4  screencast-stud
04:39:59 PM  1000    321005  412.00    3.00    0.00    0.00  415.00     4  screencast-stud
04:40:00 PM  1000    321005  418.00    3.00    0.00    0.00  421.00     4  screencast-stud
04:40:01 PM  1000    321005  407.00    4.00    0.00    0.00  411.00     4  screencast-stud
Average:     1000    321005  406.70    3.90    0.00    0.00  410.60     -  screencast-stud
