Linux 6.8.0-107-generic (f) 	04/14/2026 	_x86_64_	(8 CPU)

05:34:12 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
05:34:13 PM  1000    391015   14.00    4.00    0.00    0.00   18.00     2  scs-0015-mjpeg-
05:34:14 PM  1000    391015   58.00   25.00    0.00    0.00   83.00     1  scs-0015-mjpeg-
05:34:15 PM  1000    391015  168.00   21.00    0.00    0.00  189.00     1  scs-0015-mjpeg-
05:34:16 PM  1000    391015  178.00   12.00    0.00    0.00  190.00     2  scs-0015-mjpeg-
05:34:17 PM  1000    391015  178.00   10.00    0.00    0.00  188.00     1  scs-0015-mjpeg-
05:34:18 PM  1000    391015  179.00    8.00    0.00    0.00  187.00     1  scs-0015-mjpeg-
05:34:19 PM  1000    391015  204.00    8.00    0.00    0.00  212.00     1  scs-0015-mjpeg-
05:34:20 PM  1000    391015  502.00    5.00    0.00    0.00  507.00     4  scs-0015-mjpeg-
05:34:21 PM  1000    391015   14.00    0.00    0.00    0.00   14.00     7  scs-0015-mjpeg-
Average:     1000    391015  166.11   10.33    0.00    0.00  176.44     -  scs-0015-mjpeg-
